Collected,Message Time Stamp,Source ID,Source ID Description,NDOT Link ID,Route,From Route,To Route,Link Description,RM ID,Lane Number,Vehicles,Violations,AQD Presence,HOV,Staus
06/18/2012 09:58,06/18/2012 10:04,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,1,0,0,0,0,1
06/18/2012 10:04,06/18/2012 10:10,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,2,0,0,0,0,1
06/18/2012 10:04,06/18/2012 10:10,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,3,23,0,0,0,1
06/18/2012 10:04,06/18/2012 10:10,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,4,9,0,5,0,1
06/18/2012 10:04,06/18/2012 10:10,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,1,0,0,0,0,1
06/18/2012 10:10,06/18/2012 10:16,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,1,0,0,0,0,1
06/18/2012 10:10,06/18/2012 10:16,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,2,0,0,0,0,1
06/18/2012 10:10,06/18/2012 10:16,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,4,20,0,3,0,1
06/18/2012 10:10,06/18/2012 10:16,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,3,28,0,0,0,1
06/18/2012 10:16,06/18/2012 10:21,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,3,19,0,0,0,1
06/18/2012 10:16,06/18/2012 10:22,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,1,0,0,0,0,1
06/18/2012 10:16,06/18/2012 10:22,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,2,0,0,0,0,1
06/18/2012 10:16,06/18/2012 10:21,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,4,23,0,3,0,1
06/18/2012 10:21,06/18/2012 10:28,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,2,0,0,0,0,1
06/18/2012 10:21,06/18/2012 10:28,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,1,0,0,0,0,1
