Record Start Date,Record End Date,Source ID,Source ID Description,ID,Type Name,Asset ID,Location,Owner,Maintenance,Jurisdiction
08/02/2007 10:25,,1,FAST FMS,101,Detector or Ramp Meter- "A",TBS22,NB I-515 Off Ramp at Eastern,CITY OF LAS VEGAS,CITY OF LAS VEGAS,CITY OF LAS VEGAS
08/02/2007 10:25,,1,FAST FMS,278,Detector or Ramp Meter- "A",CCTV 104,I-15 NB near I-215,FAST FMS,FAST FMS,FAST FMS
08/02/2007 10:25,,1,FAST FMS,253,Detector or Ramp Meter- "A",515107478,On-Ramp, Las Vegas Boulevard to  I-515 NB,CITY OF LAS VEGAS,CITY OF LAS VEGAS,CITY OF LAS VEGAS
08/02/2007 10:25,,1,FAST FMS,118,Detector or Ramp Meter- "A",515107541,Interchange, I-515 NB to  I-15 SB near I-515 NB and I-15 SB,CITY OF LAS VEGAS,CITY OF LAS VEGAS,CITY OF LAS VEGAS
08/02/2007 10:25,,1,FAST FMS,35,Detector or Ramp Meter- "A",015103813,Off-Ramp, I-15 NB to  Flamingo Road,CITY OF LAS VEGAS,CITY OF LAS VEGAS,CITY OF LAS VEGAS
08/02/2007 10:25,,1,FAST FMS,320,Detector or Ramp Meter- "A",1031,Las Vegas Boulevard and Washington,FAST FMS,FAST FMS,FAST FMS
08/02/2007 10:25,,1,FAST FMS,252,Detector or Ramp Meter- "A",515107350,On-Ramp, Eastern Avenue to  I-515 NB,CITY OF LAS VEGAS,CITY OF LAS VEGAS,CITY OF LAS VEGAS
08/02/2007 10:25,,1,FAST FMS,16,Detector or Ramp Meter- "A",015103599,Off-Ramp, I-15 NB to  Russell Road,CITY OF LAS VEGAS,CITY OF LAS VEGAS,CITY OF LAS VEGAS
08/02/2007 10:25,,1,FAST FMS,77,Detector or Ramp Meter- "A",015104246,Interchange, I-15 NB to  US-95 NB near I-15 NB and US-95 NB,CITY OF LAS VEGAS,CITY OF LAS VEGAS,CITY OF LAS VEGAS
08/02/2007 10:25,,1,FAST FMS,13,Detector or Ramp Meter- "A",015103546,I-15 NB  between I-215 WB to I-15 NB Ramp and I-15 NB Russell Off-Ramp,CITY OF LAS VEGAS,CITY OF LAS VEGAS,CITY OF LAS VEGAS
08/02/2007 10:25,,1,FAST FMS,21,Detector or Ramp Meter- "A",015103661,On-Ramp, Russell Road to  I-15 NB,CITY OF LAS VEGAS,CITY OF LAS VEGAS,CITY OF LAS VEGAS
08/02/2007 10:25,,1,FAST FMS,27,Detector or Ramp Meter- "A",015103753,On-Ramp, Tropicana Avenue to  I-15 NB,CITY OF LAS VEGAS,CITY OF LAS VEGAS,CITY OF LAS VEGAS
08/02/2007 10:25,,1,FAST FMS,72,Detector or Ramp Meter- "A",01510171,Off-Ramp, I-15 NB to  Grand Central Parkway,CITY OF LAS VEGAS,CITY OF LAS VEGAS,CITY OF LAS VEGAS
08/02/2007 10:25,,1,FAST FMS,250,Detector or Ramp Meter- "A",015003816,On-Ramp, Flamingo Road to  I-15 SB,FAST FMS,FAST FMS,FAST FMS
08/02/2007 10:25,,1,FAST FMS,279,Detector or Ramp Meter- "A",015004040,I-15 SB  between I-15 SB Sahara Off-Ramp and I-15 SB Sahara On-Ramp,FAST FMS,FAST FMS,FAST FMS
08/02/2007 10:25,,1,FAST FMS,280,Detector or Ramp Meter- "A",015103661,On-Ramp, Russell Road to  I-15 NB,FAST FMS,FAST FMS,FAST FMS
08/02/2007 10:25,,1,FAST FMS,224,Detector or Ramp Meter- "A",CCTV39,Rainbow and Westcliff,FAST FMS,FAST FMS,FAST FMS
08/02/2007 10:25,,1,FAST FMS,282,Detector or Ramp Meter- "A",90,I-515 SB  between I-515 SB Eastern On-Ramp and I-515 SB Charleston Off-Ramp,FAST FMS,FAST FMS,FAST FMS
08/02/2007 10:25,,1,FAST FMS,288,Detector or Ramp Meter- "A",test CCTV,test CCTV loc,FAST FMS,FAST FMS,FAST FMS
09/21/2007 12:02,,1,FAST FMS,11,Detector or Ramp Meter- "A",015003501,I-15 SB  between I-215 WB to I-15 SB Ramp and I-215 EB to I-15 SB Ramp,CITY OF LAS VEGAS,CITY OF LAS VEGAS,CITY OF LAS VEGAS
09/21/2007 11:56,,1,FAST FMS,23,Detector or Ramp Meter- "A",015103698,I-15 NB  between I-15 NB Russell On-Ramp and I-15 NB Tropicana Off-Ramp,CITY OF LAS VEGAS,CITY OF LAS VEGAS,CITY OF LAS VEGAS
08/02/2007 10:25,,1,FAST FMS,113,Trailblazer (Pole Mounted),T023,NB Las Vegas Boulevard,NDOT,NDOT,NDOT
08/02/2007 10:25,,1,FAST FMS,125,Trailblazer (Pole Mounted),T027,I-215 WB Off-Ramp to Las Vegas Boulevard,NDOT,NDOT,NDOT
08/02/2007 10:25,,1,FAST FMS,126,Trailblazer (Pole Mounted),T028,NB Las Vegas Boulevard at Russell Road,NDOT,NDOT,NDOT
08/02/2007 10:25,,1,FAST FMS,127,Trailblazer (Pole Mounted),T029,EB Russell at Las Vegas Boulevard,NDOT,NDOT,NDOT
08/02/2007 10:25,,1,FAST FMS,128,Trailblazer (Pole Mounted),T030,WB Russell at Valley View,NDOT,NDOT,NDOT
08/02/2007 10:25,,1,FAST FMS,129,Trailblazer (Pole Mounted),T031,EB Russell at Valley View,NDOT,NDOT,NDOT
08/02/2007 10:25,,1,FAST FMS,130,Trailblazer (Pole Mounted),T032,SB Valley View at Russell,NDOT,NDOT,NDOT
08/02/2007 10:25,,1,FAST FMS,131,Trailblazer (Pole Mounted),T033,WB Tropicana at Valley View,NDOT,NDOT,NDOT
08/02/2007 10:25,,1,FAST FMS,132,Trailblazer (Pole Mounted),T034,NB Valley View at Tropicana,NDOT,NDOT,NDOT
08/02/2007 10:25,,1,FAST FMS,133,Trailblazer (Pole Mounted),T035,WB Russell at Decatur,NDOT,NDOT,NDOT
08/02/2007 10:25,,1,FAST FMS,134,Trailblazer (Pole Mounted),T036,NB Decatur at Russell,NDOT,NDOT,NDOT
08/02/2007 10:25,,1,FAST FMS,135,Trailblazer (Pole Mounted),T037,SB Decatur at Russell,NDOT,NDOT,NDOT
08/02/2007 10:25,,1,FAST FMS,136,Trailblazer (Pole Mounted),T038,WB Tropicana at Decatur,NDOT,NDOT,NDOT
08/02/2007 10:25,,1,FAST FMS,137,Trailblazer (Pole Mounted),T039,NB Decatur at Tropicana,NDOT,NDOT,NDOT
08/02/2007 10:25,,1,FAST FMS,138,Trailblazer (Pole Mounted),T040,EB Tropicana at Decatur,NDOT,NDOT,NDOT
08/02/2007 10:25,,1,FAST FMS,139,Trailblazer (Pole Mounted),T041,SB Decatur at Tropicana,NDOT,NDOT,NDOT
08/02/2007 10:25,,1,FAST FMS,140,Trailblazer (Pole Mounted),T042,WB Tropicana at Industrial,NDOT,NDOT,NDOT
08/02/2007 10:25,,1,FAST FMS,141,Trailblazer (Pole Mounted),T043,SB Industrial at Tropicana,NDOT,NDOT,NDOT
08/02/2007 10:25,,1,FAST FMS,142,Trailblazer (Pole Mounted),T044,NB Industrial at Hotel Rio,NDOT,NDOT,NDOT
08/02/2007 10:25,,1,FAST FMS,143,Trailblazer (Pole Mounted),T045,EB Hotel Rio at Industrial,NDOT,NDOT,NDOT
08/02/2007 10:25,,1,FAST FMS,144,Trailblazer (Pole Mounted),T046,WB Flamingo at Hotel Rio,NDOT,NDOT,NDOT
08/02/2007 10:25,,1,FAST FMS,145,Trailblazer (Pole Mounted),T047,WB Flamingo at Valley View,NDOT,NDOT,NDOT
08/02/2007 10:25,,1,FAST FMS,146,Trailblazer (Pole Mounted),T048,WB Flamingo at Decatur,NDOT,NDOT,NDOT
08/02/2007 10:25,,1,FAST FMS,147,Trailblazer (Pole Mounted),T049,NB Decatur at Flamingo,NDOT,NDOT,NDOT
08/02/2007 10:25,,1,FAST FMS,148,Trailblazer (Pole Mounted),T050,EB Flamingo at Decatur,NDOT,NDOT,NDOT
08/02/2007 10:25,,1,FAST FMS,149,Trailblazer (Pole Mounted),T051,SB Decatur at Flamingo,NDOT,NDOT,NDOT
08/02/2007 10:25,,1,FAST FMS,150,Trailblazer (Pole Mounted),T052,WB Spring Mountain at Decatur,NDOT,NDOT,NDOT
08/02/2007 10:25,,1,FAST FMS,151,Trailblazer (Pole Mounted),T053,NB Decatur at Spring Mountain,NDOT,NDOT,NDOT
08/02/2007 10:25,,1,FAST FMS,152,Trailblazer (Pole Mounted),T054,EB Spring Mountain at Decatur,NDOT,NDOT,NDOT
08/02/2007 10:25,,1,FAST FMS,153,Trailblazer (Pole Mounted),T055,SB Decatur at Spring Mountain,NDOT,NDOT,NDOT
